"Condition","loc_coord","loc_id","plate","seconds","normalized_sums"
"Mut4","G10",82,2,1,0.797038542445833
"MUT+DMSO","G11",83,1,1,0.151858281875865
"MUT+DMSO","G11",83,2,1,0.0238311393092709
"MUT+DMSO","G12",84,1,1,0.120025446156182
"MUT+DMSO","G12",84,2,1,0.000173949921965481
"WT+DMSO","H1",85,1,1,0.413131064668017
"WT+DMSO","H1",85,2,1,0.549855703332885
"WT+DMSO","H2",86,1,1,0
"WT+DMSO","H2",86,2,1,0.641179412364762
"Mut1","H3",87,1,1,0.143856585465453
"Mut1","H3",87,2,1,0.0125243943815146
"Mut1","H4",88,1,1,0.24596518965919
"Mut1","H4",88,2,1,1.96267696953652
"Mut2","H5",89,1,1,0.765553606570081
"Mut2","H5",89,2,1,0
"Mut2","H6",90,1,1,4.13722494402699
"Mut2","H6",90,2,1,0.292757718667904
"Mut3","H7",91,1,1,0.165774275633103
"Mut3","H7",91,2,1,0.000173949921965481
"Mut3","H8",92,1,1,1.48535838366324
"Mut3","H8",92,2,1,0.138290187962557
"Mut4","H9",93,1,1,0.319198106806657
"Mut4","H9",93,2,1,0.192388613693822
"Mut4","H10",94,1,1,0.027136187826615
"Mut4","H10",94,2,1,0.000173949921965481
"MUT+DMSO","H11",95,1,1,0
"MUT+DMSO","H11",95,2,1,0.325460303997414
"MUT+DMSO","H12",96,1,1,0.0735808169913984
"MUT+DMSO","H12",96,2,1,0.0975859062226347
