"Condition","loc_coord","loc_id","plate","seconds","normalized_sums"
"MUT+DMSO","C12",36,1,1,0.300383706805277
"MUT+DMSO","C12",36,2,1,0.325962465003311
"WT+DMSO","D1",37,1,1,0.593832609510983
"WT+DMSO","D1",37,2,1,0.450815611119055
"WT+DMSO","D2",38,1,1,0.647403971180171
"WT+DMSO","D2",38,2,1,0.207057247019123
"Mut1","D3",39,1,1,0.105449030798674
"Mut1","D3",39,2,1,0.202789675265541
"Mut1","D4",40,1,1,0.486503179908387
"Mut1","D4",40,2,1,0.0997011450930675
"Mut2","D5",41,1,1,0.513242184176926
"Mut2","D5",41,2,1,0.232555988246778
"Mut2","D6",42,1,1,0.602021012813169
"Mut2","D6",42,2,1,0.368971586582383
"Mut3","D7",43,1,1,1.85224616651031
"Mut3","D7",43,2,1,0.331470299797778
"Mut3","D8",44,1,1,0.931517560674916
"Mut3","D8",44,2,1,0.0517042990269961
"Mut4","D9",45,1,1,1.28864663564111
"Mut4","D9",45,2,1,0.146657770544203
"Mut4","D10",46,1,1,1.2923407524403
"Mut4","D10",46,2,1,0.100394625503025
"MUT+DMSO","D11",47,1,1,0.6332543035847
"MUT+DMSO","D11",47,2,1,0.0411954035837995
"MUT+DMSO","D12",48,1,1,1.42966320977354
"MUT+DMSO","D12",48,2,1,0.24398507884934
"WT+DMSO","E1",49,1,1,1.48462153226265
"WT+DMSO","E1",49,2,1,0.378960371718112
"WT+DMSO","E2",50,1,1,0.608782446810251
"WT+DMSO","E2",50,2,1,0.101994964910618
"Mut1","E3",51,1,1,0.953188823486076
"Mut1","E3",51,2,1,0.107556144352005
"Mut1","E4",52,1,1,0.536927207409308
"Mut1","E4",52,2,1,0.122252594578404
"Mut2","E5",53,1,1,0.666741405688591
"Mut2","E5",53,2,1,0.262989109314512
"Mut2","E6",54,1,1,1.23556871195593
"Mut2","E6",54,2,1,0.638855491511277
"Mut3","E7",55,1,1,1.09853965018074
"Mut3","E7",55,2,1,0.228968560741423
"Mut3","E8",56,1,1,0.635028013094783
"Mut3","E8",56,2,1,0.207310634091992
"Mut4","E9",57,1,1,0.374439412891661
"Mut4","E9",57,2,1,0.131094469805358
"Mut4","E10",58,1,1,0.515375970053718
"Mut4","E10",58,2,1,0.133988416900756
"MUT+DMSO","E11",59,1,1,1.00182580531518
"MUT+DMSO","E11",59,2,1,0.114730999362715
"MUT+DMSO","E12",60,1,1,0.0709883888884963
"MUT+DMSO","E12",60,2,1,0.21507228021882
"WT+DMSO","F1",61,1,1,0.882320460053149
"WT+DMSO","F1",61,2,1,0.252440205386125
"WT+DMSO","F2",62,1,1,0.182678743376784
"WT+DMSO","F2",62,2,1,0.348873990855356
"Mut1","F3",63,1,1,0.168155663252874
"Mut1","F3",63,2,1,0.0499305895169134
"Mut1","F4",64,1,1,0.104875575844286
"Mut1","F4",64,2,1,0.0668941872374032
"Mut2","F5",65,1,1,0.0462231365559887
"Mut2","F5",65,2,1,0.116691415137017
"Mut2","F6",66,1,1,0.126986931992535
"Mut2","F6",66,2,1,0.11129026963639
"Mut3","F7",67,1,1,1.10188702677496
"Mut3","F7",67,2,1,0.743637714223453
"Mut3","F8",68,1,1,0.392789971432065
"Mut3","F8",68,2,1,0.248265986764653
"Mut4","F9",69,1,1,1.28012482829567
"Mut4","F9",69,2,1,0.315320207942815
"Mut4","F10",70,1,1,0.860209103904901
"Mut4","F10",70,2,1,0.0810971994797944
"MUT+DMSO","F11",71,1,1,0.56311942904692
"MUT+DMSO","F11",71,2,1,0.14268359434868
"MUT+DMSO","F12",72,1,1,0.606168559111182
"MUT+DMSO","F12",72,2,1,0.239117379817911
"WT+DMSO","G1",73,1,1,0.8556214642698
"WT+DMSO","G1",73,2,1,0.294662493423131
"WT+DMSO","G2",74,1,1,0.617410943449525
"WT+DMSO","G2",74,2,1,0.271204184940158
"Mut1","G3",75,1,1,0.938385683965837
"Mut1","G3",75,2,1,0.231302389044163
"Mut1","G4",76,1,1,2.07450663790157
"Mut1","G4",76,2,1,0.469966339363255
"Mut2","G5",77,1,1,2.2661606181226
"Mut2","G5",77,2,1,0.064280299538334
"Mut2","G6",78,1,1,1.32817501900866
"Mut2","G6",78,2,1,0.133601668210587
"Mut3","G7",79,1,1,1.45278811421327
"Mut3","G7",79,2,1,0.00601460894020511
"Mut3","G8",80,1,1,0.930157272178461
"Mut3","G8",80,2,1,0.259268320191857
"Mut4","G9",81,1,1,0.527111792376069
"Mut4","G9",81,2,1,0.392950005372824
"Mut4","G10",82,1,1,0.616570765260539
"Mut4","G10",82,2,1,0.235956709487914
"MUT+DMSO","G11",83,1,1,0.979394381285418
"MUT+DMSO","G11",83,2,1,0.145897609325596
"MUT+DMSO","G12",84,1,1,0.774510928628275
"MUT+DMSO","G12",84,2,1,0.299850260336079
"WT+DMSO","H1",85,1,1,0.88445424592994
"WT+DMSO","H1",85,2,1,0.307665251109827
"WT+DMSO","H2",86,1,1,0.811185373385624
"WT+DMSO","H2",86,2,1,0.168262352546714
"Mut1","H3",87,1,1,0.798169279537197
"Mut1","H3",87,2,1,0.356822343246404
"Mut1","H4",88,1,1,0.671008977442174
"Mut1","H4",88,2,1,0.202096194855584
"Mut2","H5",89,1,1,1.00051886146565
"Mut2","H5",89,2,1,0.1159712624036
"Mut2","H6",90,1,1,0.771416939106928
"Mut2","H6",90,2,1,0.241091131753942
"Mut3","H7",91,1,1,1.06976021316752
"Mut3","H7",91,2,1,0.015229896695597
"Mut3","H8",92,1,1,0.651284794243585
"Mut3","H8",92,2,1,0.409846922284664
"Mut4","H9",93,1,1,0.602154374430468
"Mut4","H9",93,2,1,0.187359736143995
"Mut4","H10",94,1,1,0.439266495060922
"Mut4","H10",94,2,1,0.224500946561891
"MUT+DMSO","H11",95,1,1,0.165701809494564
"MUT+DMSO","H11",95,2,1,0.221833714215902
"MUT+DMSO","H12",96,1,1,0.197708597646432
"MUT+DMSO","H12",96,2,1,0.221046880673835
