"Condition","loc_coord","loc_id","plate","Phase","Group","seconds_total","exp_sums","mean","sd","sem","median","iqr","CI_lower","CI_upper","phase_con_mean","phase_con_sd","phase_con_sem"
"WT+DMSO","E2",50,2,"Trans 1","1",16,2865,179.0625,319.623834895543,79.9059587238857,3,256.75,22.4468209011839,335.678179098816,407.353515625,390.414111011576,69.0161163418008
"Mut1","E3",51,1,"Trans 1","1",16,17128,1070.5,1153.70776195707,288.426940489268,859,1587.5,505.183196641034,1635.81680335897,449.291015625,306.460740365593,54.1751169199901
"Mut1","E3",51,2,"Trans 1","1",16,1874,117.125,235.912942982505,58.9782357456263,0,105.25,1.52765793857253,232.722342061427,449.291015625,306.460740365593,54.1751169199901
"Mut1","E4",52,1,"Trans 1","1",16,13723,857.6875,1570.83233642762,392.708084106906,0,700.25,87.9796551504645,1627.39534484954,449.291015625,306.460740365593,54.1751169199901
"Mut1","E4",52,2,"Trans 1","1",16,283,17.6875,39.2678303449529,9.81695758623821,0,0.5,-1.5537368690269,36.9287368690269,449.291015625,306.460740365593,54.1751169199901
"Mut2","E5",53,1,"Trans 1","1",16,3944,246.5,390.415334398296,97.603833599574,0,372.25,55.1964861448349,437.803513855165,433.693359375,336.544264811127,59.4931829543472
"Mut2","E5",53,2,"Trans 1","1",16,8468,529.25,1195.42307712932,298.85576928233,0,159,-56.5073077933671,1115.00730779337,433.693359375,336.544264811127,59.4931829543472
"Mut2","E6",54,1,"Trans 1","1",16,12095,755.9375,1225.85695025969,306.464237564924,5.5,865.75,155.267594372749,1356.60740562725,433.693359375,336.544264811127,59.4931829543472
"Mut2","E6",54,2,"Trans 1","1",16,13694,855.875,1682.85090941929,420.712727354823,12.5,850,31.2780543845477,1680.47194561545,433.693359375,336.544264811127,59.4931829543472
"Mut3","E7",55,1,"Trans 1","1",16,15913,994.5625,835.043070246479,208.76076756162,846.5,1276.5,585.391395579225,1403.73360442078,505.810546875,399.848325415771,70.6838655868942
"Mut3","E7",55,2,"Trans 1","1",16,1438,89.875,164.765237029336,41.191309257334,2,87,9.14003385562528,170.609966144375,505.810546875,399.848325415771,70.6838655868942
"Mut3","E8",56,1,"Trans 1","1",16,4287,267.9375,537.251209863691,134.312802465923,0,257.25,4.68440716679129,531.190592833209,505.810546875,399.848325415771,70.6838655868942
"Mut3","E8",56,2,"Trans 1","1",16,6424,401.5,416.250885884943,104.062721471236,272.5,595.5,197.537065916378,605.462934083622,505.810546875,399.848325415771,70.6838655868942
"Mut4","E9",57,1,"Trans 1","1",16,8204,512.75,944.107938744294,236.026984686074,0,572.5,50.1371100152958,975.362889984704,487.310546875,427.536511741477,75.5784916643101
"Mut4","E9",57,2,"Trans 1","1",16,2611,163.1875,455.107198910323,113.776799727581,0,0,-59.8150274660581,386.190027466058,487.310546875,427.536511741477,75.5784916643101
"Mut4","E10",58,1,"Trans 1","1",16,9666,604.125,785.840007041298,196.460001760324,394,448.5,219.063396549764,989.186603450236,487.310546875,427.536511741477,75.5784916643101
"Mut4","E10",58,2,"Trans 1","1",16,2566,160.375,310.421621884387,77.6054054710967,25.5,121.5,8.26840527665038,312.48159472335,487.310546875,427.536511741477,75.5784916643101
"MUT+DMSO","E11",59,1,"Trans 1","1",16,8604,537.75,726.837946175074,181.709486543769,281,814.75,181.599406374214,893.900593625786,342.09765625,242.869357231063,42.9336423601257
"MUT+DMSO","E11",59,2,"Trans 1","1",16,3117,194.8125,546.461614235925,136.615403558981,15,100.25,-72.9536909756034,462.578690975603,342.09765625,242.869357231063,42.9336423601257
"MUT+DMSO","E12",60,1,"Trans 1","1",16,2473,154.5625,401.702372202771,100.425593050693,0,62.5,-42.2716623793577,351.396662379358,342.09765625,242.869357231063,42.9336423601257
"MUT+DMSO","E12",60,2,"Trans 1","1",16,10061,628.8125,1444.61289941862,361.153224854655,0,195.25,-79.0478207151228,1336.67282071512,342.09765625,242.869357231063,42.9336423601257
"WT+DMSO","F1",61,1,"Trans 1","1",16,6930,433.125,505.823141028561,126.45578525714,247.5,682,185.271660896005,680.978339103995,407.353515625,390.414111011576,69.0161163418008
"WT+DMSO","F1",61,2,"Trans 1","1",16,1322,82.625,258.128617811612,64.532154452903,0,0,-43.85802272769,209.10802272769,407.353515625,390.414111011576,69.0161163418008
"WT+DMSO","F2",62,1,"Trans 1","1",16,190,11.875,41.9934518705,10.498362967625,0,0,-8.701791416545,32.451791416545,407.353515625,390.414111011576,69.0161163418008
"WT+DMSO","F2",62,2,"Trans 1","1",16,7081,442.5625,872.26754066628,218.06688516657,1.5,220.5,15.1514050735229,869.973594926477,407.353515625,390.414111011576,69.0161163418008
"Mut1","F3",63,1,"Trans 1","1",16,4381,273.8125,558.67798939401,139.669497348502,0,204.75,0.0602851969351832,547.564714803065,449.291015625,306.460740365593,54.1751169199901
"Mut1","F3",63,2,"Trans 1","1",16,2949,184.3125,347.045956370815,86.7614890927036,5.5,204,14.2599813783009,354.365018621699,449.291015625,306.460740365593,54.1751169199901
"Mut1","F4",64,1,"Trans 1","1",16,5852,365.75,821.601241479101,205.400310369775,0,198.75,-36.8346083247595,768.33460832476,449.291015625,306.460740365593,54.1751169199901
"Mut1","F4",64,2,"Trans 1","1",16,3620,226.25,699.293691281901,174.823422820475,0,74,-116.403908728132,568.903908728131,449.291015625,306.460740365593,54.1751169199901
"Mut2","F5",65,1,"Trans 1","1",16,2546,159.125,410.198955792593,102.549738948148,1,80.5,-41.8724883383704,360.12248833837,433.693359375,336.544264811127,59.4931829543472
"Mut2","F5",65,2,"Trans 1","1",16,3340,208.75,366.369667594539,91.5924168986349,2,176,29.2288628786757,388.271137121324,433.693359375,336.544264811127,59.4931829543472
"Mut2","F6",66,1,"Trans 1","1",16,662,41.375,141.590901308429,35.3977253271073,0,0,-28.0045416411303,110.75454164113,433.693359375,336.544264811127,59.4931829543472
"Mut2","F6",66,2,"Trans 1","1",16,2778,173.625,234.559978115051,58.6399945287628,0,288,58.6906107236249,288.559389276375,433.693359375,336.544264811127,59.4931829543472
"Mut3","F7",67,1,"Trans 1","1",16,12773,798.3125,1118.53765955078,279.634414887695,20,1396,250.229046820119,1346.39595317988,505.810546875,399.848325415771,70.6838655868942
"Mut3","F7",67,2,"Trans 1","1",16,4344,271.5,326.178887524418,81.5447218811044,166.5,530.5,111.672345113035,431.327654886965,505.810546875,399.848325415771,70.6838655868942
"Mut3","F8",68,1,"Trans 1","1",16,8608,538,776.074480961718,194.018620240429,221,764,157.723504328758,918.276495671242,505.810546875,399.848325415771,70.6838655868942
"Mut3","F8",68,2,"Trans 1","1",16,3278,204.875,430.087568602798,107.5218921507,0,120.5,-5.86790861537114,415.617908615371,505.810546875,399.848325415771,70.6838655868942
"Mut4","F9",69,1,"Trans 1","1",16,7509,469.3125,788.092441172565,197.023110293141,16.5,775.5,83.1472038254431,855.477796174557,487.310546875,427.536511741477,75.5784916643101
"Mut4","F9",69,2,"Trans 1","1",16,6270,391.875,426.197900041753,106.549475010438,270,608.25,183.038028979541,600.711971020459,487.310546875,427.536511741477,75.5784916643101
"Mut4","F10",70,1,"Trans 1","1",16,8413,525.8125,698.398188118116,174.599547029529,359.5,662.5,183.597387822123,868.027612177877,487.310546875,427.536511741477,75.5784916643101
"Mut4","F10",70,2,"Trans 1","1",16,2622,163.875,323.168660815577,80.7921652038942,0,236.5,5.52235620036737,322.227643799633,487.310546875,427.536511741477,75.5784916643101
"MUT+DMSO","F11",71,1,"Trans 1","1",16,2398,149.875,261.480113966627,65.3700284916566,22.5,129.5,21.749744156353,278.000255843647,342.09765625,242.869357231063,42.9336423601257
"MUT+DMSO","F11",71,2,"Trans 1","1",16,2701,168.8125,308.64072290178,77.160180725445,0,204.5,17.5785457781278,320.046454221872,342.09765625,242.869357231063,42.9336423601257
"MUT+DMSO","F12",72,1,"Trans 1","1",16,15755,984.6875,1881.9427096753,470.485677418824,0,904.75,62.5355722591044,1906.8394277409,342.09765625,242.869357231063,42.9336423601257
"MUT+DMSO","F12",72,2,"Trans 1","1",16,1957,122.3125,155.254938193068,38.813734548267,36,237.5,46.2375802853967,198.387419714603,342.09765625,242.869357231063,42.9336423601257
"WT+DMSO","G1",73,1,"Trans 1","1",16,11729,733.0625,866.231413942025,216.557853485506,473.5,1094.25,308.609107168408,1157.51589283159,407.353515625,390.414111011576,69.0161163418008
"WT+DMSO","G1",73,2,"Trans 1","1",16,5660,353.75,186.529175555282,46.6322938888206,332,250.25,262.350703977912,445.149296022088,407.353515625,390.414111011576,69.0161163418008
"WT+DMSO","G2",74,1,"Trans 1","1",16,26998,1687.375,2798.23775199083,699.559437997706,194.5,2045.75,316.238501524496,3058.5114984755,407.353515625,390.414111011576,69.0161163418008
"WT+DMSO","G2",74,2,"Trans 1","1",16,5587,349.1875,413.471678796343,103.367919699086,208,459.75,146.586377389792,551.788622610208,407.353515625,390.414111011576,69.0161163418008
"Mut1","G3",75,1,"Trans 1","1",16,7307,456.6875,657.771360352516,164.442840088129,171,596.5,134.379533427267,778.995466572733,449.291015625,306.460740365593,54.1751169199901
"Mut1","G3",75,2,"Trans 1","1",16,5618,351.125,593.913110928975,148.478277732244,159,309.5,60.1075756448021,642.142424355198,449.291015625,306.460740365593,54.1751169199901
"Mut1","G4",76,1,"Trans 1","1",16,10199,637.4375,908.42933819863,227.107334549657,98,857.25,192.307124282672,1082.56787571733,449.291015625,306.460740365593,54.1751169199901
"Mut1","G4",76,2,"Trans 1","1",16,4965,310.3125,439.805672049221,109.951418012305,137,492.25,94.8077206958818,525.817279304118,449.291015625,306.460740365593,54.1751169199901
