time	Loc01	Loc02	Loc03	Loc04	Loc05	Loc06	Loc07	Loc08	Loc09	Loc10	Loc11	Loc12	Loc13	Loc14	Loc15	Loc16	Loc17	Loc18	Loc19	Loc20	Loc21	Loc22	Loc23	Loc24	Loc25	Loc26	Loc27	Loc28	Loc29	Loc30	Loc31	Loc32	Loc33	Loc34	Loc35	Loc36	Loc37	Loc38	Loc39	Loc40	Loc41	Loc42	Loc43	Loc44	Loc45	Loc46	Loc47	Loc48	Loc49	Loc50	Loc51	Loc52	Loc53	Loc54	Loc55	Loc56	Loc57	Loc58	Loc59	Loc60	Loc61	Loc62	Loc63	Loc64	Loc65	Loc66	Loc67	Loc68	Loc69	Loc70	Loc71	Loc72	Loc73	Loc74	Loc75	Loc76	Loc77	Loc78	Loc79	Loc80	Loc81	Loc82	Loc83	Loc84	Loc85	Loc86	Loc87	Loc88	Loc89	Loc90	Loc91	Loc92	Loc93	Loc94	Loc95	Loc96
999973	0	0	0	0	0	14	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28	0	0	0	0	0	0	0	0	48	0	0	0	0	0	0	12	38	0	0	0	48	14	0	0	0	56	31	0	49	0	0	0	0	0	64	0	0	0	0	113	0	0	0	23	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	23	0	0	32	0
1033051	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	66	0	0	0	62	0	0	7	5	0	0	0	64	38	0	0	0	25	30	1	5	0	0	0	0	0	76	0	0	0	0	75	1	0	0	29	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	8	0	0	11	0
1066346	0	0	75	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	3	49	0	0	0	65	0	0	3	0	0	0	0	53	44	0	0	0	2	29	0	1	0	0	0	0	111	29	0	0	0	0	62	0	0	0	25	0	1	0	0	0	0	0	0	55	0	0	0	0	0	0	0	0	0	0	0	25	0	0	4	0
1100054	0	0	98	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	55	0	0	0	0	0	0	0	0	0	0	0	75	24	0	0	0	44	0	0	0	0	0	0	0	14	49	0	0	0	0	23	0	0	0	0	0	0	115	3	0	0	0	0	43	0	0	0	8	0	16	0	0	0	0	0	0	64	20	0	0	0	0	0	0	0	0	0	0	17	0	0	2	0
1133336	0	0	42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	45	0	0	0	0	0	9	0	0	0	0	0	55	0	0	0	0	31	0	0	0	0	0	0	0	0	20	0	0	0	0	16	0	27	0	0	0	0	80	0	3	0	0	0	6	0	0	0	0	0	16	0	3	0	0	0	0	22	68	0	0	0	0	0	42	0	0	0	0	58	0	0	0	0
1166386	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34	0	0	0	0	0	13	0	0	0	0	0	33	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	76	0	0	0	0	38	0	5	0	0	0	0	0	0	0	0	0	0	0	0	51	0	0	0	25	102	0	0	0	0	0	66	0	0	0	0	71	2	17	0	0
1200176	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	0	0	0	0	0	66	0	45	0	0	0	47	0	0	0	0	0	0	0	0	0	26	0	0	0	0	0	0	0	0	7	0	51	0	0	0	0	20	0	16	0	0	0	0	0	0	0	0	0	0	0	0	57	13	0	0	23	156	0	0	0	22	0	51	0	0	0	0	67	0	53	0	0
1233014	0	0	1	0	0	0	0	0	0	0	0	0	0	0	78	0	0	0	0	0	0	0	128	0	0	0	0	0	69	0	44	0	0	0	57	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	23	0	0	0	0	7	0	21	0	0	0	0	0	0	0	0	0	0	0	0	92	42	0	0	5	80	1	0	3	33	0	25	0	0	0	0	34	0	34	0	0
1266940	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34	0	0	0	0	0	0	0	108	0	0	0	0	0	54	0	54	0	0	0	48	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	11	0	0	0	0	1	0	16	0	0	0	0	0	0	0	0	0	0	0	0	103	33	0	0	0	43	3	0	7	18	0	6	0	0	0	0	24	0	17	0	0
1300149	0	0	0	0	0	0	3	0	0	0	0	0	0	0	28	0	0	0	0	0	0	0	62	0	0	0	0	1	24	0	49	0	0	0	10	0	0	0	2	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	23	20	0	0	0	16	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0
