time	location	data1	data2
208168355	Loc07	0	0
208168355	Loc08	82	26
208168355	Loc09	0	0
208168355	Loc10	6	0
208168355	Loc11	0	0
208168355	Loc12	0	0
208168355	Loc13	0	0
208168355	Loc14	86	0
208168355	Loc15	0	0
208168355	Loc16	0	0
208168355	Loc17	0	0
208168355	Loc18	0	0
208168355	Loc19	0	0
208168355	Loc20	0	30
208168355	Loc21	265	0
208168355	Loc22	0	50
208168355	Loc23	0	0
208168355	Loc24	0	0
208168355	Loc25	0	4
208168355	Loc26	0	0
208168355	Loc27	0	0
208168355	Loc28	0	56
208168355	Loc29	211	0
208168355	Loc30	0	19
208168355	Loc31	0	0
208168355	Loc32	0	0
208168355	Loc33	0	0
208168355	Loc34	0	0
208168355	Loc35	0	0
208168355	Loc36	0	4
208168355	Loc37	0	51
208168355	Loc38	0	0
208168355	Loc39	0	0
208168355	Loc40	0	0
208168355	Loc41	62	5
208168355	Loc42	0	0
208168355	Loc43	7	0
208168355	Loc44	16	0
208168355	Loc45	126	0
208168355	Loc46	162	0
208168355	Loc47	0	0
208168355	Loc48	0	0
208168355	Loc49	92	25
208168355	Loc50	0	0
208168355	Loc51	0	0
208168355	Loc52	0	0
208168355	Loc53	62	0
208168355	Loc54	0	0
208168355	Loc55	0	0
208168355	Loc56	0	0
208168355	Loc57	0	0
208168355	Loc58	0	0
208168355	Loc59	51	0
208168355	Loc60	0	0
208168355	Loc61	0	0
208168355	Loc62	0	0
208168355	Loc63	0	0
208168355	Loc64	0	0
208168355	Loc65	0	0
208168355	Loc66	0	0
208168355	Loc67	2	70
208168355	Loc68	68	0
208168355	Loc69	0	1
208168355	Loc70	0	0
208168355	Loc71	0	0
208168355	Loc72	0	29
208168355	Loc73	0	0
208168355	Loc74	0	0
208168355	Loc75	41	0
208168355	Loc76	19	32
208168355	Loc77	152	0
208168355	Loc78	35	0
208168355	Loc79	206	0
208168355	Loc80	0	19
208168355	Loc81	0	0
208168355	Loc82	0	0
208168355	Loc83	0	0
208168355	Loc84	0	0
208168355	Loc85	0	0
208168355	Loc86	0	0
208168355	Loc87	0	0
208168355	Loc88	0	0
208168355	Loc89	0	0
208168355	Loc90	0	0
208168355	Loc91	0	0
208168355	Loc92	0	0
208168355	Loc93	0	0
208168355	Loc94	0	92
208168355	Loc95	0	0
208168355	Loc96	0	0
208201363	Loc01	0	0
208201363	Loc02	0	0
208201363	Loc03	59	127
208201363	Loc04	0	0
208201363	Loc05	0	1
208201363	Loc06	0	0
208201363	Loc07	0	0
208201363	Loc08	18	8
208201363	Loc09	0	0
208201363	Loc10	19	0
208201363	Loc11	0	0
208201363	Loc12	0	0
208201363	Loc13	0	0
208201363	Loc14	159	0
208201363	Loc15	67	0
208201363	Loc16	0	0
208201363	Loc17	0	46
208201363	Loc18	0	0
208201363	Loc19	0	0
208201363	Loc20	0	62
208201363	Loc21	301	0
208201363	Loc22	0	40
208201363	Loc23	0	0
208201363	Loc24	0	0
208201363	Loc25	0	0
208201363	Loc26	0	0
208201363	Loc27	0	0
208201363	Loc28	0	32
208201363	Loc29	142	0
208201363	Loc30	0	9
208201363	Loc31	0	0
208201363	Loc32	0	0
208201363	Loc33	0	0
208201363	Loc34	0	0
208201363	Loc35	0	0
208201363	Loc36	0	3
208201363	Loc37	0	39
208201363	Loc38	0	0
208201363	Loc39	0	0
208201363	Loc40	0	0
208201363	Loc41	66	0
208201363	Loc42	0	0
208201363	Loc43	89	0
208201363	Loc44	10	0
208201363	Loc45	123	0
208201363	Loc46	103	0
208201363	Loc47	0	0
208201363	Loc48	0	0
208201363	Loc49	181	0
208201363	Loc50	0	0
208201363	Loc51	0	0
208201363	Loc52	0	0
208201363	Loc53	41	0
208201363	Loc54	0	0
208201363	Loc55	0	0
208201363	Loc56	0	0
208201363	Loc57	0	0
208201363	Loc58	0	0
208201363	Loc59	33	0
208201363	Loc60	0	0
208201363	Loc61	0	0
208201363	Loc62	0	0
208201363	Loc63	0	0
208201363	Loc64	0	0
208201363	Loc65	0	0
208201363	Loc66	0	0
208201363	Loc67	17	80
208201363	Loc68	35	0
208201363	Loc69	0	0
208201363	Loc70	0	0
208201363	Loc71	0	0
208201363	Loc72	98	9
208201363	Loc73	0	0
208201363	Loc74	0	0
208201363	Loc75	112	0
208201363	Loc76	21	34
208201363	Loc77	130	0
208201363	Loc78	93	0
208201363	Loc79	178	0
208201363	Loc80	0	3
208201363	Loc81	0	0
208201363	Loc82	0	0
208201363	Loc83	0	0
208201363	Loc84	24	16
208201363	Loc85	0	0
208201363	Loc86	0	0
208201363	Loc87	0	0
208201363	Loc88	0	0
208201363	Loc89	0	0
208201363	Loc90	0	0
208201363	Loc91	0	0
208201363	Loc92	0	40
208201363	Loc93	0	0
208201363	Loc94	0	67
208201363	Loc95	0	0
208201363	Loc96	0	0
208234860	Loc01	105	0
208234860	Loc02	0	0
208234860	Loc03	22	57
208234860	Loc04	0	0
208234860	Loc05	0	0
208234860	Loc06	0	0
208234860	Loc07	0	0
